word,example
"쁘레카","공사장 쁘레카 등 건설기계의 소음으로 피해를 입었다."
"코아","코아가 확인되지 않아 지반보강 효과가 전혀 없게 된 결과를 낸 것이다."
"가드너","시민가드너와 함께하는 화분 분갈이 등 체험행사를 진행했다."
"가드닝","집에서 반려 식물 키우는 가드닝 열풍이 불고 있다."
"가드닝 클래스","ㅇ수목원은 오는 10월까지 주말 가드닝 클래스를 운영한다고 밝혔다."
"가드레일","화단형 중앙 분리대에 가드레일 설치한다."
"가든","00시는 일상의 스트레스 해소 및 건강 증진을 위해 올해 스마트가든을 17곳 조성한다고 22일 밝혔다."
"가든파티","우리만을 위한 멋진 가든파티를 열 수 있는 곳을 소개한다."
"가스 마스크","공장 인근 주민들에게 가스 마스크·보호복 등 안전 보호구를 지급했다."
"가스라이팅","자존감 상처 주는 가스라이팅, 혹시 당신도 가해자?"
"가십거리","코로나 환자 55% ""가십거리 올라"" 낙인 효과 심각하다."
"가이드","재택치료 가이드를 확인해 주세요."
"가이드 투어","유럽 7개국 무료 가이드 투어 참가자 모집한다."
"가이드 팁","가이드 팁·선택 관광비 숨긴 홈쇼핑·여행사 제재받는다."
"가이드라인","상한제 맞춰 '분양가 심사 가이드라인' 손본다."
"가이드북","“봄맞이 산행, 안전하고 즐겁게” 천안시 등산로 가이드북 발간한다."
"가전 쇼","한국 시험 인증 기관 첫 ‘국제 소비자 가전 쇼 2020’에 참가한다."
"가죽 패치","가구 업체에서 남은 자재로 가죽 패치 방석 제작한다."
"갈라 쇼","리듬 체조 유망주들이 갈라 쇼를 펼쳤다."
"개런티","고액 개런티, 연예계 탈세 논란이 수면 위로 떠올랐다."
"갤러리","우리 집 거실을 미술 갤러리로 꾸미는 방법을 알아보자."
"갤러리 북","그림보다 더 그림 같은 갤러리 북 찍어내다."
"갭","다리 곳곳에 갭이 생겨 안전 우려가 큰 것으로 나타났다."
"갭 먼스","우리가 원래의 삶을 완전히 잊고 다른 삶에 푹 빠질 갭 먼스가 필요하다."
"갭 이어","취준생들의 치열한 구직 활동에 쉼표가 되는 갭 이어 열풍이 분다."
"갭 투자","급증하는 갭 투자, 내년부터는 상시 조사한다."
"거버넌스","건강한 학교 급식 추진을 위해 민관 거버넌스를 강화한다."
"게놈","약물 부작용 위험을 게놈 정보로 예측한다."
"게리맨더링","국회가 자초한 게리맨더링이 논란이다."
"게스트","일본은 게스트로 한국 초청은 괜찮지만 주요 7개국 틀 확대에는 반대했다."
"게이머","코로나에 여성 게이머 급증하자 게임 업계가 여심 공략에 나섰다."
"게이머 라운지","공사는 올 하반기 운영개시를 목표로 공항 내 면세구역에 게임 체험, 캐릭터 전시 등 게임관련 다양한 문화 콘텐츠를 체험할 수 있는 게이머 라운지를 조성할 계획이다."
"게이미피케이션","게임 활용해 지역 관광 활성화하는 게이미피케이션 도입한다."
"게이지","소화기 압력 게이지를 반드시 확인해야 한다."
"게이트","이번 사건은 정경 유착에서 비롯된 전형적인 게이트 사건이다."
