bill_id,overall_score,notes,score_필요성_및_적합성,rationale_필요성_및_적합성,score_일관성_및_체계성,rationale_일관성_및_체계성,score_효과성_및_비례성,rationale_효과성_및_비례성,score_절차_및_근거_기반,rationale_절차_및_근거_기반,score_영향력_및_지속가능성,rationale_영향력_및_지속가능성,score_명확성_및_가독성,rationale_명확성_및_가독성,score_필요일성_및_적합성,rationale_필요일성_및_적합성
2000010,41,"정의 규정의 표적 개정만으로 정책 방향을 명확히 전환하는 점이 강점이며, 근거의 신뢰성도 일정 수준 확보되어 있다. 다만 참조조항 범위 표기 등 경미한 체계 흠과, 정량 근거·이행·전환 설계의 보완이 요구된다.",8.0,"제안이유는 폭스바겐 배출가스 조작, WHO 산하 IARC의 2012년 디젤배기가스 1급 발암물질 분류, 그리고 2009년 전문위원 검토보고서의 ‘질소산화물 저감 한계’ 지적 등 구체 근거를 제시한다. 이에 따라 ‘클린디젤자동차’를 범주에서 제외하고 ‘가스자동차’(천연가스·LPG)를 포함하는 정의 변경은 대기오염·건강위해 문제에 직접 대응하는 설계다. 다만 국내 배출 기여도나 비용-편익 등 정량근거는 부족하다.",7,"제2조제2호에서 ‘천연가스자동차 또는 클린디젤자동차’를 ‘가스자동차’로 일관되게 조정하고, 제2조제7호에 ‘가스자동차’ 정의를 신설하며, 제2조제8호(클린디젤자동차)를 삭제하는 구조는 내부 논리상 대체로 정합적이다. 다만 제2조제2호 본문의 ‘제3호부터 제8호까지의 규정에 따른’이라는 범위표시가 유지된 반면 제8호는 <삭제> 처리되어 참조범위가 부정확해지는 경미한 체계상 흠이 존재한다. 상위법 충돌이나 권리 제한 문제는 보이지 않는다.",7,환경친화적 자동차의 범주에서 디젤을 제외하면 제2조제2호의 ‘장관 고시’ 체계 하에서 각종 지원·우대의 대상 축소로 이어져 정책 시그널과 유인 구조를 변경하는 효과가 기대된다. 동시에 제2조제7호로 LNG/CNG·LPG를 포함한 ‘가스자동차’에 명확히 문을 열어 대체 수단을 제시해 비례성도 확보한다. 다만 정의 변경만으로 실주행 배출 개선이 충분히 담보되는 것은 아니어서 효과성은 중간 수준이다.,6,"제안이유는 IARC의 분류, 유럽 동향, 2009년 국회 전문위원 보고서 등 신뢰 가능한 질적 근거를 인용한다. 그러나 국내 대기질·건강영향 통계나 비용·영향평가, 이해관계자 의견수렴의 서술은 부재하다. 따라서 근거는 타당하나 정량성·절차적 투명성은 제한적이다.",6,클린디젤의 친환경 지위를 해제하고 가스차를 명시함으로써 단기적으로 NOx·PM 저감에 긍정적 영향을 줄 수 있다. 반면 가스차(‘천연가스…또는 액화석유가스’) 중심은 화석연료 의존을 지속시켜 장기적 탄소중립 관점에서 잠재적 부정효과가 있다. 기존 디젤 차량 보유자에 대한 과도기·완충조치가 없어 전환의 사회적 비용 관리 측면은 미흡하다.,7,‘가스자동차란 천연가스(압축…및 액화… 포함) 또는 액화석유가스를 동력원으로 사용하는 자동차’라는 정의는 간결하고 명확하다. 다만 제2조제2호의 범위표시 ‘제3호부터 제8호까지’와 제2조제8호 <삭제>의 병존은 독해상 혼선을 줄 수 있어 문언정비가 필요하다. 이 외에는 용어 사용이 통일적이며 조문 구조도 간명하다.,,
2000020,35,"국제석유거래업 도입과 관세법 체계와의 정합적 정비는 긍정적이다. 다만 가목(보세구역 내 거래) 신고 예외로 인한 규제 사각지대와 일부 모호 표현은 실효성과 명확성을 저해하므로, 예외의 범위·요건을 명확히 하고 최소 보고·검사 포섭 장치를 보완할 필요가 있다.",7.0,"제안이유는 “석유 공급원을 다변화하고, 국제 석유거래를 활성화”하여 동북아 거점 도약을 지원한다고 명시하며(제안이유), 이에 맞춰 국제석유거래업 정의(제2조제5호의2), 신고 제도(제9조의2), 행정처분·벌칙(제13조제3항, 제47조) 등 수단을 설계했다. 다만 보세구역 내 단순 거래(가목)에 대해서는 “신고하지 아니할 수 있다”(제9조의2제1항 단서)고 하여 규제 범위를 선택적으로 축소, 목표 대비 포섭 범위가 다소 미흡하다.",7,"관세법 체계와의 정합성을 위해 ‘보세구역’, ‘종합보세구역’ 정의를 원용하고(제2조제5호의2, 제26조, 제26조의2) 다수 조문을 일괄 정비해(예: 제38조, 제39조, 제39조의2) 전체 체계를 조화시켰다. 그러나 “국제석유거래업자”를 ‘신고를 하고’ 영업하는 자로 한정(제2조제8호의2)하면서, 신고 예외(제9조의2제1항 단서) 대상은 다수의 의무·제재 조항(예: 제39조) 적용 밖에 놓일 소지가 있어 규범 적용의 균질성에 간극이 생긴다.",6,"보세구역 밖 거래·제조에 대한 강한 제재(“영업장 폐쇄” 포함, 제13조제3항제5·6호)와 과징금(“20억원 이하”, 제14조제1항제2호의2)을 통해 집행력을 확보했다. 반면 신고 예외(제9조의2제1항 단서)로 인해 단순 거래형 사업자의 표본관리·검사(제38조) 포섭력이 낮아 실효성 저하 우려가 있으며, 제재 강도는 기존 유사업종과의 균형을 유지하나(제14조 체계), 미신고 예외군에 대한 대안적 통제 장치는 상대적으로 약하다.",3,"제안이유는 정책 목표를 서술하나, 수요·효과성에 관한 통계나 영향평가 근거는 제시되지 않았다. 이해관계자 의견 수렴·규제영향분석의 흔적도 조문·부칙 어디에도 나타나지 않는다.",6,"보세·종보세구역을 활용한 혼합·거래 합법화(제2조제5호의2나목, 제29조제2항제5의2)와 품질보정·혼합 장소 정비(제26조, 제26조의2)는 지역 허브화와 공급망 다변화에 기여할 수 있다. 다만 신고 예외군의 사각지대는 내국시장 유입·품질관리·검사 회피 등의 부작용을 야기할 소지가 있으며, 이를 보완하는 장치(예: 예외군 대상 최소 신고·보고의무)는 부족하다.",6,"핵심 용어 정의와 다수 조문 정비는 적절하나(제2조제5호의2, 제2조제8호의2), “신고하지 아니할 수 있다”(제9조의2제1항 단서)처럼 재량·예외의 주체와 범위를 불명확하게 두는 표현은 해석상 혼선을 초래한다. 또한 “대통령령으로 정하는 방법”(제2조제5호의2나목) 등 포괄위임 표현과 빈번한 조문 번호 변경·준용은 일반 국민 관점의 가독성을 떨어뜨린다.",,
2000048,37,"절차기한 명시와 권고수단 구체화로 제도의 실효성과 예측가능성을 높인 점은 강점이다. 다만 정량 근거의 부족, ‘대기업등’ 정의의 범위 모호성, 장기적 경쟁 영향에 대한 보완장치 미흡이 품질을 제한한다.",7.0,"제안이유에서 ‘사업조정 신청 요건이 까다롭고… 합의 도출이 장기간 지연’(제안이유) 및 동반성장위원회의 신청 미이행을 문제로 지적하며, 이에 따라 적합업종 합의 절차·기한(제20조의3)과 사업조정 권고수단(제33조제2항)을 신설·정비해 문제-수단 정합성이 높다. 다만 실태·빈도 등 정량 근거가 부재하여 새로운 규율 강화의 불가피성을 수치로 뒷받침하지 못한다.",6,"종전 제32조제5항을 삭제하고 동일 취지를 제20조의3제3항으로 이관, 심의기한(제32조제7항)과 권고·명령 체계(제33조)도 연동 수정하여 내부적 논리성은 대체로 확보됐다. 다만 ‘대기업등’ 정의를 제20조의3제2항 내부에 두고(“제32조제1항제1호부터 제3호까지의 기업(이하 ‘대기업등’)”) 제32조제2항에서는 정의 문구를 삭제함으로써(“기업이”) 용어의 법률 전반 적용 범위가 모호해질 소지가 있다.",7,"합의기한(1년, 제20조의3제2항)과 사업조정 심의기한(3개월+1회 3개월 연장, 제32조제7항) 부여로 집행 가능성이 높아지고, 권고수단을 사업이양·철수·축소·확장·진입자제로 구체화(최대 5년+1회 3년 연장, 제33조제2항)하여 실효성 제고가 기대된다. 동시에 사업이양에 대해서는 이행명령 불가(제33조제4항 단서)로 과도한 강제를 제한해 비례성도 일정 부분 확보했다.",5,"합의 도출 시 ‘대기업등, 중소기업자단체 및 전문가’ 의견을 청취하도록 명시하여(제20조의3제2항) 이해관계자 절차를 내재화했다. 그러나 제안이유에는 통계·영향평가 등 객관적 데이터가 제시되지 않아(단순 문제 진술 위주) 근거 기반의 충실성은 제한적이다.",6,"권고기간 상한(5년)과 제한적 연장(최대 3년, 1회, 제33조제2항)은 시장 구조 개입의 장기화를 억제하면서도 중소기업 보호의 지속성을 도모한다. 반면 진입·확장 자제 권고가 빈번해질 경우 경쟁·소비자후생·혁신에 대한 잠재적 위축 효과가 있을 수 있어 부작용 관리 장치(정기 재검토 등)는 더 보완될 수 있다.",6,"절차·기한·주체가 조문에 비교적 명시되어 예측 가능성이 개선되었다(예: 제20조의3제2항, 제32조제7항). 다만 긴 문장과 다중 단서(제33조제2항, 제33조제4항 단서), 그리고 ‘대기업등’ 용어 정의의 범위 불명확성은 해석상의 혼선을 남길 수 있다.",,
2000099,39,"기존 제도의 틀을 활용해 홈쇼핑 영역의 소비자 보호를 강화하는 제한적·목적적 개정으로서 체계성과 비례성은 양호하다. 다만 증거 기반과 기대효과에 관한 실증이 부족해 효과성 평가가 제한적이며, 관련 기관과의 역할 분담 명료화가 과제로 보인다.",7.0,"제안이유에서 “홈쇼핑 방송사의 허위·과장 광고 등으로 인한 소비자 불만 민원 및 피해 사례도 지속적으로 증가”하고, “자체심의 구성원이 내부 직원들로만 구성”되어 객관적 통로가 부족함을 지적한다. 기존에 시청자위원회가 의무인 대상을 홈쇼핑까지 확장(제87조제1항, 제90조제1항)하는 설계는 문제와의 부합성이 높다. 다만 증가 추세에 관한 구체 통계나 대안 비교가 부족하다.",8,"제87조와 제90조에서 “다음 각 호의 어느 하나에 해당하는” 체계로 통일하고, 후단 조항은 “제1항 각 호의 어느 하나에 해당하는”으로 정합성 있게 정비하였다. 기존 제도(종편·보전 채널의 시청자위원회) 틀을 확장하는 방식이라 타 법체계와의 충돌 소지가 낮다. 중복 규제보다는 제도적 일관성 강화에 가깝다.",6,제90조제1항은 시청자위원회의 의견·시정요구를 “특별한 사유가 없는 한 이를 수용”하게 하여 준수 압력을 부여한다. 다만 허위·과장광고의 직접 규율은 공정거래·방심위 체계에 있어 본 개정만으로 실질 억제 효과는 제한적일 수 있다. 의무 수준은 조직 설치·절차 준수 중심으로 과도하지 않아 비례성은 적정하다.,3,"제안이유는 현상과 문제점을 서술하지만 구체적 통계, 실증 연구, 이해관계자 의견수렴 근거가 제시되지 않았다. 다른 정책 수단과의 비교평가나 규제영향분석에 관한 단서도 없다. 근거 기반과 절차적 투명성 측면에서 보강이 필요하다.",7,홈쇼핑 사업자에 시청자위원회를 의무화하면 소비자 관점의 피드백 경로가 상시화되어 품질관리·광고 준법성 개선의 지속 효과가 기대된다. 다만 방심위·공정위의 기존 통제와 일부 기능 중복 우려가 있어 역할 정합성이 중요하다. 재정·행정 부담은 상대적으로 경미하여 지속가능성은 높다.,8,"개정사항은 열거형 구조로 간결하며 용어(“상품소개와 판매에 관한 전문편성”, “시청자위원회”)가 일관된다. 제87조·제90조의 참조 방식도 정합적으로 정리되어 해석상 혼란이 적다. 다만 “상품소개와 판매에 관한 전문편성”의 정의가 본문에 직접 제시되지 않아 상위법 정의와의 연계가 전제된다.",,
2000123,48,"본 개정안은 상위법 개정에 따른 교차참조 정비로, 정책적 변경 없이 법체계 정합성과 해석의 명확성을 높인다. 절차적 근거 제시는 최소한에 그치지만, 기술적 정비안의 목적과 비례성 차원에서 충분하다.",8.0,"제안이유에서 2015년 소방기본법 개정으로 제16조의2제1항제5호 삭제 및 제16조의3 신설을 명시하고, 이를 반영해 국립묘지법의 교차참조를 수정하려는 순수 정합성 개선안이다. 제5조제1항제1호아목의 “제5호까지의”를 “제4호까지 및 제16조의3(제1항제1호부터 제5호까지에 한한다)의”로 변경하여 순직 소방공무원 안장 범위의 최신 법체계와의 적합성을 확보한다.",10,개정은 단일 문언 교정으로 관련 상위·관련 법률(소방기본법)과의 조화만을 목적하며 내부 조항 간 모순을 야기하지 않는다. 기존 제도와 중복 규제 없이 교차참조를 최신화하여 체계정합성을 극대화한다.,9,"목표(순직 소방공무원 안장 대상의 범위 명확화)에 직접적으로 도달하는 최소침해적 수단으로, 단어 수준의 교정으로 실무 혼선을 해소할 가능성이 높다. 새로운 의무·권리 변화 없이 참조 체계를 바로잡는 비례적 개입이다.",6,"근거로 소방기본법의 조문 변동(제16조의2→제16조의3)을 명시하여 법률기술적 필요성을 제시하였으나, 그 외 통계나 이해관계자 의견 수렴 등 절차적 근거는 제시되지 않았다. 기술적 정합성 개선이라는 성격상 최소한의 근거로도 목적은 충족된다.",7,"단기적으로 해석상 불확실성 제거와 유가족·행정기관의 예측가능성 제고라는 긍정적 효과가 있다. 구조적·재정적 부담 없이 법체계의 지속적 정합성을 담보하나, 사회 전반의 장기적 파급효과는 제한적이다.",8,"개정 문언은 “제4호까지 및 제16조의3(제1항제1호부터 제5호까지에 한한다)”처럼 정확한 범위를 특정하여 명확하다. 다만 괄호와 다단 참조가 가독성을 다소 저해하므로, 입법기술상 주석이나 용어 정의를 통한 단순화 여지는 있다.",,
2000193,31,"전용차로 의무화로 노면전차 운행의 효율을 높이려는 취지는 타당하나, 근거 부족·타 법령과의 조정 미흡·포괄위임이 품질을 저하시킨다. 전용차로 도입 기준·예외, 관계 법령과의 권한 정합성, 비용·영향 분석을 법률 또는 부대조항 수준에서 보완할 필요가 있다.",6.0,"제안이유에서 현행법에 “노면전차 전용로에 관한 사항을 규정하고 있지 않아 이를 명시할 필요”를 제기하고, 본문은 “노면전차를 도로에 건설하는 경우… 전용차로를 설치하여야 한다”(제18조의2제1항)로 대응해 문제-해결의 연결성이 있다. 다만 근거가 유럽·일본 사례 소개 수준에 머물고, 대안(예: 기존 도로·교통 법령 개선) 대비 신규 입법 필요성에 대한 정량·정성 근거가 부족하다.",5,"제18조 단서로 “노면전차의 건설 및 운전에 관한 사항은 제외”하고 이를 제18조의2로 분리해 체계화한 점은 일관적이다. 그러나 제안이유의 “전용도로 또는 전용차로”와 달리 조문은 “전용차로”만 규정해 내부 불일치가 있고, 전용차로·표지 설치는 도로교통 관련 법체계와의 권한·절차 중첩 가능성이 있으나 조정 규정이 없다.",5,"전용차로 의무화(“설치하여야 한다”)는 노면전차의 원활한 운행과 교통 분리를 통해 목적 달성 가능성을 높인다. 그러나 모든 도로 구축 사례에 예외 없이 적용되어 맥락별(혼용차로가 더 적합한 구간) 비례성을 해칠 수 있고, 예외·기준 부재로 과도한 규제가 될 소지가 있다.",3,"제안이유는 친환경성·도시재생 효과를 주장하지만 통계·영향평가·비용분석 등 객관적 근거가 제시되지 않았다. 이해관계자 의견수렴 흔적도 없고, 핵심 기준을 “국토교통부령으로 정한다”(제18조의2제2항)로 포괄 위임하여 법률 단계의 근거 충실성이 낮다.",6,"전용차로 도입은 저탄소 대중교통 활성화와 운행 신뢰성 제고 등 긍정적 장기효과가 기대된다. 반면 도로 공간 축소로 일반 차량 혼잡·배출 증가, 설치·관리 비용 증가 등 부정적 외부효과 가능성이 있으며, 이를 상쇄할 보완장치가 법률에 직접 규정되지 않았다.",6,"조문은 간결하고 의무 주체·행위가 명확하며, “안전표시나 노면표시 등”으로 표시 방법을 예시했다. 다만 제안이유의 ‘전용도로’와 본문 ‘전용차로’ 불일치, 예외·기준의 부재, 광범위한 하위법 위임으로 국민이 예측 가능한 범위가 제한된다.",,
2000243,26,"현안 대응 의지는 분명하고 일부 수단은 목적과 부합하나, 타법 체계와의 정합성, 기준의 구체성, 비례성 측면에서 미비점이 두드러진다. 특히 어업허가 정수 예외와 광범위한 인허가 면제 조항은 재설계가 필요하다.",6.0,"제안이유에서 교통비 부담, 어장 피해, 오전 여객선 운항 적자, 인허가 부담 등 구체적 문제를 열거하고(예: “여객 운임의 일부를 지원”, “오전 여객선 운항… 손실금 지원”), 이에 대응하는 조문(제17조, 제20조, 제19조 등)을 제시해 문제-수단의 정합성은 대체로 있다. 다만 “매년 방문객이 감소” 등 서술은 있으나 정량 근거가 부족하고, 건축 인·허가 면제(제21조)는 과도하게 광범위해 문제 해결의 적합성 논란이 있다.",4,"제18조제4항은 신규어선 전입을 제한하면서도 기존 허가 어선에 대해 ‘별표2 허가정수에도 불구하고’ 지자체장이 허가 가능하다고 하여 자원관리체계와 충돌 및 내적 모순 소지가 있다. 제안이유는 건축 인허가를 ‘의제’하려 하나, 본문 제21조는 ‘받지 아니한다’로 타법 허가를 전면 면제하여 국토계획법·산지관리법·농지법과의 체계 정합성 문제가 발생할 수 있다.",5,"여객운임 지원(제17조)과 운항 손실금 지원(제20조)은 방문·이동 수요 진작과 기본 이동권 보장에 기여할 수 있다. 반면 어업 피해 ‘지원대책을 강구하여야 한다’(제18조제2항)는 절차·기준이 없어 집행 효과가 불확실하고, 100㎡ 이하 주택에 대한 광범위한 타법 허가 면제(제21조)는 목표 대비 수단이 과도하여 환경·토지이용 리스크를 초래할 수 있다.",3,"제안이유는 ‘매년 방문객 감소’, ‘운항 포기’ 등 정성적 진술에 그치고 통계·연구 등 객관적 근거가 거의 제시되지 않았다. 이해관계자 의견수렴이나 영향평가에 관한 기술이 없고, 보상·지원 산정 근거도 대통령령 위임(제20조) 외 구체성이 부족하다.",4,"단기적으로 지역 이동성과 어업활동 지원, 관광 활성화에 긍정적일 수 있다(제19조, 제20조). 그러나 운항 손실금·운임 지원의 지속적 재정 부담과 도서 내 소형주택 난개발·환경훼손 가능성(제21조), 어업허가 정수 무력화에 따른 자원 고갈 위험(제18조제4항) 등 부정적·비지속적 파급효과가 크다.",4,"‘지원대책을 강구하여야 한다’(제18조제2항), ‘신규어선의 전입을 제한’(제18조제4항) 등 핵심 용어가 불명확하고 집행기준이 없다. ‘서해 5도/서해 5도서’ 용어 혼용, 여객선 손실금의 범위·산식 부재(제20조), 타법 허가 전면 면제(제21조)의 요건·예외 미설정 등으로 예측가능성이 떨어진다.",,
2000250,42,"기금 사용 범위를 보완하는 표적화된 기술적 개정으로 필요성과 체계성이 높습니다. 다만 재정·집행 기준, 근거자료 출처와 이해관계자 논의 등 절차적 투명성 보강이 필요합니다.",8.0,"제안이유에서 “총 5,400여개의 폐사지”가 파악되었고 “예산 지원 근거가 명확하지 않아…사후관리가 제대로 이루어지지 않고” 있다는 문제를 명시합니다. 이에 따라 제5조에 “폐사지(廢寺址) 등 비지정문화재의 조사 및 연구”를 기금 용도로 신설하여 문제-수단의 정합성이 높습니다.",8,개정은 제5조에 제7호를 신설하고 기존 제7호를 제8호로 조정하는 단순 구조로 내부 모순이 없습니다. 또한 “「매장문화재 보호 및 조사에 관한 법률」 제13조제1항제3호”를 준거로 삼아 관련 법체계와의 정합성을 담보합니다.,7,"기금의 사용 범위를 넓혀 조사·연구에 재정 투입을 가능케 하므로 목표(방치된 폐사지의 체계적 조사) 달성 가능성을 높입니다. 규제나 의무 부과 없이 재원 사용 근거만 보완하는 경미한 수단으로 비례성이 확보되나, 우선순위·평가기준 등 집행 메커니즘 부재로 효과성은 일부 제한됩니다.",5,"“총 5,400여개”, “약 100여건” 등의 수치를 제시하지만 출처와 방법론 설명이 없어 근거의 검증 가능성이 낮습니다. 이해관계자 의견 수렴, 재정추계 등 절차적 근거가 텍스트에 나타나지 않습니다.",6,비지정문화재 조사 확대는 장기적으로 문화재 지정과 보존 역량을 강화할 잠재력이 있습니다. 다만 기금의 용도 확대가 기존 사업과의 재원 경쟁을 유발할 수 있으나 이에 대한 재정적 지속가능성 검토가 부재합니다.,8,"신설 조항은 “폐사지(廢寺址) 등 비지정문화재의 조사 및 연구”로 간결하며, 외부 법률 조항을 특정해 범위를 한정합니다. 다만 ‘등’의 사용이 적용대상의 외연을 다소 넓게 해석하게 할 여지가 있습니다.",,
2000266,44,"본 개정안은 일본식 용어 정비와 문장 단순화를 통해 법문 명확성을 실질적으로 개선한다. 다만 근거 제시와 사회적 논의의 흔적은 제한적이며, 영향 범위도 좁아 총체적 정책 효과는 제한적이다.",7.0,제안이유에서 일본식 표현 ‘시달(示達)’을 ‘작성하여 보급’으로 바꾸고 어법을 정비하려는 명확한 필요를 제시한다. 다만 정책 목적이 언어 정비에 한정되어 사회·행정상 실질 문제 해결과의 직접적 적합성은 제한적이다.,9,제89조제1항을 “감독한다”로 단문화하고 후단에 “지침 등을 작성하여 보급할 수 있으며 … 요구할 수 있다”로 권한을 재기술하여 기존 체계를 유지한다. 신·구조문대비표에 따라 ②~⑧은 현행과 같아 내부 모순이나 다른 법률과의 충돌 우려가 낮다.,8,모호하거나 일본식인 용어를 평이한 우리말로 대체하고 문장을 분리해 가독성을 높이는 직접적 수단이 목표 달성에 적합하다(“시달(示達)” → “작성하여 보급”). 규제 강화를 수반하지 않으며 기존 권한의 범위와 강도도 유지되어 비례성을 충족한다.,5,"법제처가 정비대상 용어로 선정했다는 점을 근거로 들지만, 통계·연구나 이해관계자 의견수렴 등 추가적 근거는 제시되지 않았다. 언어 정비라는 성격상 제한적 근거만으로도 일정 타당성은 있으나 투명한 절차적 흔적은 약하다.",6,법률용어의 평이화는 장기적으로 법 문장의 표준을 개선하고 준법 접근성을 높일 수 있다. 다만 개정 범위가 1개 조항의 용어·문장 구조 정비에 그쳐 사회·제도 전반의 영향은 제한적이다.,9,장문의 연결 구조를 단문화하고(“감독한다. 이 경우 …”) 난해한 ‘시달’ 대신 ‘작성하여 보급’을 사용해 이해 용이성을 높였다. ‘…할 수 있다’의 재량 표현도 일관되게 유지되어 해석상 혼선이 적다.,,
2000267,40,실체 규율 변경 없이 용어를 평이화하여 접근성을 높이는 목적과 설계가 타당하다. 다만 부칙 내 ‘보전/보존’ 용어 불일치 등 세부 검토 미비가 일관성과 가독성을 저해하므로 정정이 필요하다.,8.0,"제안이유에서 ‘법제처의 알기 쉬운 법령용어 정비대상으로 선정되었고’라는 근거를 제시하며, 한자어인 ‘요존국유림’·‘불요존국유림’을 ‘보전국유림’·‘준보전국유림’으로 변경해 일반 국민의 이해를 높이려는 목적이 분명하다. 이는 실체 규율을 바꾸지 않고 명료성을 제고하는 정합적인 접근이다.",6,"본 법 내에서는 제16조, 제17조, 제20조, 제21조 등 전반에 걸쳐 용어를 일관되게 치환하고, 부칙에서 관련 법률(산림복지, 산지관리법, 폐광지역법)까지 정합 수정하였다. 다만 부칙 제2조 ② 산지관리법 개정에서 ‘보전국유림’이 아닌 ‘보존국유림’으로 기재되어 용어 불일치가 발생하여 체계적 일관성을 해친다.",7,제16조에서 ‘준보전국유림 : 보전국유림 외의 국유림’ 등 정의 수준을 유지하여 실체법적 내용은 변함없이 명칭만 단순화되어 목표(가독성 제고) 달성 가능성이 높다. 다만 ‘불요존’에서 ‘준보전’으로의 어감 변화가 일부 해석상 인식 차이를 유발할 수 있으나 조문 내 정의로 상쇄된다.,5,"제안이유는 법제처 정비대상 선정 사실을 근거로 들지만, 추가적인 통계나 이해관계자 의견수렴 등 구체 자료는 제시되지 않는다. 명료화 성격의 경미 개정이라는 점을 고려하면 최소한의 근거는 충족하나, 증거 기반은 제한적이다.",7,"한자어 용어를 한글 중심으로 전환함으로써 장기적으로 법령 접근성과 교육·행정 현장의 이해도를 높이는 긍정적 효과가 예상된다. 반면, 관련 지침·양식·전산시스템의 용어 업데이트 비용과 ‘보존/보전’ 혼용 같은 오류가 정착기에 혼선을 초래할 수 있어 정비 관리가 병행되어야 한다.",7,"제17조 제목을 ‘보전국유림의 처분금지’로, 제20조 제목을 ‘준보전국유림의 매각 및 교환’으로 변경하는 등 핵심 조항의 용어를 직관적으로 개선하였다. 그러나 부칙에서의 ‘보존국유림’ 오기는 용어 통일성을 저해하여 가독성 개선 효과를 일부 상쇄한다.",,
